caldt,t30ret
20100129,0.000028
20100226,0.000010
20100331,0.000068
20100430,0.000111
20100528,0.000112
20100630,0.000127
20100730,0.000142
20100831,0.000126
20100930,0.000125
20101029,0.000112
20101130,0.000114
20101231,0.000140
20110131,0.000066
20110228,0.000122
20110331,0.000067
20110429,0.000053
20110531,0.000013
20110630,0.000035
20110729,-0.000028
20110831,0.000083
20110930,-0.000001
20111031,0.000014
20111130,0.000004
20111230,0.000000
20120131,-0.000002
20120229,0.000031
20120330,0.000046
20120430,0.000029
20120531,0.000065
20120629,0.000022
20120731,0.000032
20120831,0.000050
20120928,0.000067
20121031,0.000037
20121130,0.000085
20121231,0.000103
20130131,0.000022
20130228,0.000054
20130328,0.000041
20130430,0.000037
20130531,0.000012
20130628,0.000013
20130731,0.000009
20130830,0.000009
20130930,0.000008
20131031,0.000017
20131129,0.000032
20131231,0.000023
20140131,0.000012
20140228,0.000045
20140331,0.000028
20140430,0.000015
20140530,0.000008
20140630,0.000020
20140731,0.000013
20140829,0.000003
20140930,0.000004
20141031,0.000012
20141128,-0.000001
20141231,0.000005
20150130,0.000013
